time,Quantized
0.0,133
2.769258766181947e-06,135
5.538517532363895e-06,138
8.307776298545842e-06,140
1.107703506472779e-05,142
1.384629383090974e-05,144
1.661555259709168e-05,146
1.938481136327362e-05,147
2.744744053153841e-05,151
3.721306553153841e-05,155
4.697869053153841e-05,160
5.397632921540298e-05,164
5.873704043124487e-05,168
6.167813906979103e-05,170
6.640762440333286e-05,175
7.373915550954896e-05,182
8.350478050954895e-05,192
9.327040550954895e-05,202
0.000101367038345929,209
0.0001090538956602863,214
0.0001130838212257521,216
0.0001194406247866543,218
0.0001385057081574654,222
0.0001479556382160888,224
0.0001568798532923725,228
0.0001661894498427464,234
0.0001845384846250083,247
0.0001943041096250083,252
0.0002028556510073129,255
0.0002080928079161578,255
0.000213281413219054,255
0.0002212149084318611,255
0.0002407461584318611,250
0.0002510264113855912,249
0.0002602644388825889,250
0.0002772013235004786,254
0.0002869669485004786,255
0.0002952795678225498,255
0.0003029584869257279,254
0.0003129437215132187,249
0.0003317527397520315,236
0.0003415183647520315,229
0.0003509005339801347,224
0.0003599746793937958,222
0.0003781552712868623,218
0.0003879208962868623,215
0.0003943177983454341,212
0.0004020172879193329,207
0.000407060240216772,202
0.0004148063146644584,195
0.0004245719396644584,184
0.0004343375646644584,174
0.0004418345646904598,167
0.0004467819745110724,164
0.000449533674608748,162
0.000453969331872778,159
0.0004608993281933176,156
0.0004706649531933177,152
0.0004804305781933177,147
0.0004890521766511472,142
0.0004931184664525377,139
0.0004946623349443209,138
0.000496999913127921,136
0.0005007845340077914,132
0.0005067852081207729,126
0.0005156961930045253,116
0.0005254618180045253,104
0.0005352274430045253,94
0.0005406908713826298,89
0.0005449555068279029,86
0.0005483797997544535,84
0.0005538456444058238,81
0.0005621261681729103,78
0.0005718917931729103,74
0.0005816574181729103,70
0.0005882893342591721,66
0.0005959902935015369,61
0.0006009151462901142,57
0.0006182724171470684,40
0.0006280380421470684,31
0.0006357654532201611,26
0.0006434612742223614,22
0.0006477487557584686,20
0.0006544718288249015,19
0.0006739075649697826,18
0.0006828175941697996,17
0.0006910764209808781,14
0.0007007136483897286,10
0.0007192901644946957,0
0.0007290557894946957,0
0.0007369634495869833,0
0.0007424080811715511,0
0.0007477899284162639,0
0.0007559666938922918,0
0.0007754979438922918,7
0.0007851487438013298,9
0.0007948403902660155,10
0.0008120753640349095,8
0.0008218409890349095,8
0.000829744910006306,10
0.0008374370837543107,13
0.0008416047643458189,16
0.0008481584829900772,20
0.0008674266403209916,37
0.0008765938631966148,44
0.0008851543244732179,49
0.0008888197532397262,51
0.0008946449900660255,53
0.0009131207553654385,59
0.0009228863803654385,63
0.0009287408969239577,66
0.000933122885936668,70
0.0009364349813698131,73
0.0009417316814132103,78
0.0009498020294278283,86
0.0009595676544278283,97
0.0009693332794278283,108
0.0009763182752345764,114
0.0009792618671628605,117
0.000981074450593594,118
0.0009840200899537772,120
0.0009887565862472228,123
0.0009960975493630967,127
0.001005863174363097,131
0.001015628799363097,136
0.001023712450552203,141
0.001027365006620521,143
0.001028900863526955,145
0.001031399714652039,147
0.001035439163856801,151
0.001041809654192065,157
0.00106088913039837,178
0.001070319997215936,188
0.001076998597161817,193
0.001082816167570113,196
0.001088541046219156,199
0.001097133621991864,202
0.001106899246991864,204
0.001116664871991864,208
0.001125190895858687,212
0.001130436455755698,215
0.001135632919543936,219
0.00115334205411231,234
0.00116310767911231,241
0.001170297577686819,245
0.001177998960745254,248
0.001182619354912624,248
0.001189803213435242,249
0.001209334463435242,247
0.00122143982656971,247
0.001229188948194148,249
0.001244391644892184,254
0.001254157269892184,255
0.001263899143114864,255
0.001273243529971745,255
0.001282337440592053,255
0.001290766703737186,252
0.001310297953737186,241
0.001319273570880256,237
0.001329424137604235,235
0.001346952000005083,234
0.001356717625005083,232
0.001364190017126378,229
0.001371889391560306,225
0.001376340365465413,222
0.001383291586136315,216
0.001402822836136315,197
0.001411418022170531,189
0.001416997675633172,185
0.001423128355205982,182
0.001429136647698954,179
0.001447821841535968,171
0.001457587466535968,166
0.001463033760350178,163
0.00146729337230592,159
0.001470722444679425,156
0.001476195468311159,151
0.001484484802816561,141
0.001494250427816561,130
0.001504016052816561,119
0.001510632789653817,113
0.001513368711334278,111
0.001515260561088699,110
0.00151833367351479,107
0.001523266320141394,104
0.001530868223786068,101
0.001540633848786068,97
0.001550399473786068,92
0.00155811184205056,88
0.001563144751114929,84
0.001565807925780838,82
0.00157010535509286,78
0.001576842409143863,71
0.001586526053451859,61
0.001596291678451859,51
0.001605179914742313,44
0.001611111543069515,40
0.001617143691813044,37
0.001623063268574463,35
0.001631882161645604,33
0.001641647786645604,31
0.001651413411645604,29
0.001661376954699758,25
0.001670138484244273,20
0.001688089240167504,7
0.001697854865167504,2
0.001707483663004198,0
0.001712350739778399,0
0.001717190696054313,0
0.001724670008747568,0
0.001744201258747568,4
0.0017556067179799,6
0.001763961026419746,5
0.001780045351533723,2
0.001789810976533723,0
0.001798957444418364,0
0.001807492608740283,3
0.001816995686061223,7
0.001825714422413179,13
0.001835480047413179,21
0.001845245672413179,27
0.001853416888146618,32
0.001858777714208311,34
0.001864081704716762,36
0.001881926837562296,39
0.001891692462562296,42
0.001898662425867771,46
0.001906364242870507,51
0.001911109050020104,55
0.001918461184675956,62
0.001937992434675956,83
0.001946060670826341,91
0.001951242407087896,95
0.001953748408372486,97
0.001957799119147824,99
