time	V(vquantised)
0.000000000000000e+000	1.320000e+002
5.031553600023673e-008	1.320000e+002
1.015155360002393e-007	1.320000e+002
1.527155360002432e-007	1.320000e+002
2.039155360002470e-007	1.320000e+002
2.551155360002509e-007	1.320000e+002
3.063155360002547e-007	1.320000e+002
3.575155360002586e-007	1.320000e+002
3.774655360002601e-007	1.322500e+002
3.776155360002601e-007	1.330000e+002
4.087155360002624e-007	1.330000e+002
4.599155360002662e-007	1.330000e+002
5.111155360002701e-007	1.330000e+002
5.623155360002739e-007	1.330000e+002
6.135155360002778e-007	1.330000e+002
6.647155360002816e-007	1.330000e+002
7.159155360002855e-007	1.330000e+002
7.671155360002893e-007	1.330000e+002
8.183155360002932e-007	1.330000e+002
8.695155360002970e-007	1.330000e+002
9.207155360003009e-007	1.330000e+002
9.719155360002662e-007	1.330000e+002
1.023115536000162e-006	1.330000e+002
1.074315536000057e-006	1.330000e+002
1.125515535999952e-006	1.330000e+002
1.176715535999848e-006	1.330000e+002
1.227915535999743e-006	1.330000e+002
1.279115535999639e-006	1.330000e+002
1.330315535999534e-006	1.330000e+002
1.381515535999430e-006	1.330000e+002
1.413165535999365e-006	1.332500e+002
1.413315535999365e-006	1.340000e+002
1.432715535999325e-006	1.340000e+002
1.483915535999220e-006	1.340000e+002
1.535115535999116e-006	1.340000e+002
1.586315535999011e-006	1.340000e+002
1.637515535998907e-006	1.340000e+002
1.688715535998802e-006	1.340000e+002
1.739915535998698e-006	1.340000e+002
1.791115535998593e-006	1.340000e+002
1.842315535998488e-006	1.340000e+002
1.893515535998384e-006	1.340000e+002
1.944715535998438e-006	1.340000e+002
1.995915535998550e-006	1.340000e+002
2.047115535998662e-006	1.340000e+002
2.098315535998774e-006	1.340000e+002
2.149515535998887e-006	1.340000e+002
2.200715535998999e-006	1.340000e+002
2.251915535999111e-006	1.340000e+002
2.303115535999223e-006	1.340000e+002
2.354315535999336e-006	1.340000e+002
2.405515535999448e-006	1.340000e+002
2.456715535999560e-006	1.340000e+002
2.474815535999600e-006	1.342500e+002
2.474965535999600e-006	1.350000e+002
2.507915535999672e-006	1.350000e+002
2.559115535999785e-006	1.350000e+002
2.610315535999897e-006	1.350000e+002
2.661515536000009e-006	1.350000e+002
2.712715536000122e-006	1.350000e+002
2.763915536000234e-006	1.350000e+002
2.815115536000346e-006	1.350000e+002
2.866315536000458e-006	1.350000e+002
2.917515536000571e-006	1.350000e+002
2.968715536000683e-006	1.350000e+002
3.019915536000795e-006	1.350000e+002
3.071115536000907e-006	1.350000e+002
3.122315536001020e-006	1.350000e+002
3.173515536001132e-006	1.350000e+002
3.224715536001244e-006	1.350000e+002
3.275915536001356e-006	1.350000e+002
3.327115536001469e-006	1.350000e+002
3.378315536001581e-006	1.350000e+002
3.429515536001693e-006	1.350000e+002
3.480715536001806e-006	1.350000e+002
3.531915536001918e-006	1.350000e+002
3.565365536001991e-006	1.352500e+002
3.565515536001991e-006	1.360000e+002
3.583115536002030e-006	1.360000e+002
3.634315536002142e-006	1.360000e+002
3.685515536002255e-006	1.360000e+002
3.736715536002367e-006	1.360000e+002
3.787915536002479e-006	1.360000e+002
3.839115536002591e-006	1.360000e+002
3.890315536002703e-006	1.360000e+002
3.941515536002815e-006	1.360000e+002
3.992715536002928e-006	1.360000e+002
4.043915536003040e-006	1.360000e+002
4.095115536003152e-006	1.360000e+002
4.146315536003265e-006	1.360000e+002
4.197515536003377e-006	1.360000e+002
4.248715536003489e-006	1.360000e+002
4.299915536003601e-006	1.360000e+002
4.351115536003714e-006	1.360000e+002
4.402315536003826e-006	1.360000e+002
4.453515536003938e-006	1.360000e+002
4.504715536004050e-006	1.360000e+002
4.555915536004163e-006	1.360000e+002
4.607115536004275e-006	1.360000e+002
4.658315536004387e-006	1.360000e+002
4.688065536004452e-006	1.362500e+002
4.688215536004453e-006	1.370000e+002
4.709515536004499e-006	1.370000e+002
4.760715536004612e-006	1.370000e+002
4.811915536004724e-006	1.370000e+002
4.863115536004836e-006	1.370000e+002
4.914315536004949e-006	1.370000e+002
4.965515536005061e-006	1.370000e+002
5.016715536005173e-006	1.370000e+002
5.067915536005285e-006	1.370000e+002
5.119115536005398e-006	1.370000e+002
5.170315536005510e-006	1.370000e+002
5.221515536005622e-006	1.370000e+002
5.272715536005734e-006	1.370000e+002
5.323915536005847e-006	1.370000e+002
5.375115536005959e-006	1.370000e+002
5.426315536006071e-006	1.370000e+002
5.477515536006183e-006	1.370000e+002
5.528715536006296e-006	1.370000e+002
5.579915536006408e-006	1.370000e+002
5.631115536006520e-006	1.370000e+002
5.682315536006633e-006	1.370000e+002
5.733515536006745e-006	1.370000e+002
5.784715536006857e-006	1.370000e+002
5.835915536006969e-006	1.370000e+002
5.846715536006993e-006	1.372500e+002
5.846865536006993e-006	1.380000e+002
5.887115536007082e-006	1.380000e+002
5.938315536007194e-006	1.380000e+002
5.989515536007306e-006	1.380000e+002
6.040715536007418e-006	1.380000e+002
6.091915536007531e-006	1.380000e+002
6.143115536007643e-006	1.380000e+002
6.194315536007755e-006	1.380000e+002
6.245515536007867e-006	1.380000e+002
6.296715536007980e-006	1.380000e+002
6.347915536008092e-006	1.380000e+002
6.399115536008204e-006	1.380000e+002
6.450315536008317e-006	1.380000e+002
6.501515536008429e-006	1.380000e+002
6.552715536008541e-006	1.380000e+002
6.603915536008653e-006	1.380000e+002
6.655115536008766e-006	1.380000e+002
6.706315536008878e-006	1.380000e+002
6.757515536008990e-006	1.380000e+002
6.808715536009102e-006	1.380000e+002
6.859915536009215e-006	1.380000e+002
6.911115536009327e-006	1.380000e+002
6.962315536009439e-006	1.380000e+002
7.013515536009551e-006	1.380000e+002
7.045515536009622e-006	1.382500e+002
7.045665536009622e-006	1.390000e+002
7.064715536009664e-006	1.390000e+002
7.115915536009776e-006	1.390000e+002
7.167115536009888e-006	1.390000e+002
7.218315536010001e-006	1.390000e+002
7.269515536010113e-006	1.390000e+002
7.320715536010225e-006	1.390000e+002
7.371915536010337e-006	1.390000e+002
7.423115536010450e-006	1.390000e+002
7.474315536010562e-006	1.390000e+002
7.525515536010674e-006	1.390000e+002
7.576715536010786e-006	1.390000e+002
