time	V(vquantised)
3.204441074274494e-005	1.531560e+002
3.205298217131636e-005	1.531150e+002
3.206155359988778e-005	1.530000e+002
3.446655359988654e-005	1.532500e+002
3.447512502845796e-005	1.535793e+002
3.448369645702939e-005	1.538346e+002
3.449226788560081e-005	1.540158e+002
3.450083931417224e-005	1.541229e+002
3.450941074274366e-005	1.541560e+002
3.451798217131509e-005	1.541150e+002
3.452655359988651e-005	1.540000e+002
3.575155359988587e-005	1.540000e+002
3.689655359988528e-005	1.542500e+002
3.690512502845670e-005	1.545793e+002
3.691369645702813e-005	1.548346e+002
3.692226788559955e-005	1.550158e+002
3.693083931417098e-005	1.551229e+002
3.693941074274240e-005	1.551560e+002
3.694798217131383e-005	1.551150e+002
3.695655359988525e-005	1.550000e+002
3.923655359988407e-005	1.552500e+002
3.924512502845549e-005	1.555793e+002
3.925369645702692e-005	1.558346e+002
3.926226788559834e-005	1.560158e+002
3.927083931416977e-005	1.561229e+002
3.927941074274119e-005	1.561560e+002
3.928798217131262e-005	1.561150e+002
3.929655359988404e-005	1.560000e+002
4.087155359988322e-005	1.560000e+002
4.146155359988292e-005	1.562500e+002
4.147012502845434e-005	1.565793e+002
4.147869645702576e-005	1.568346e+002
4.148726788559719e-005	1.570158e+002
4.149583931416862e-005	1.571229e+002
4.150441074274004e-005	1.571560e+002
4.151298217131146e-005	1.571150e+002
4.152155359988289e-005	1.570000e+002
4.356155359988183e-005	1.572500e+002
4.357012502845325e-005	1.575793e+002
4.357869645702468e-005	1.578346e+002
4.358726788559610e-005	1.580158e+002
4.359583931416753e-005	1.581229e+002
4.360441074273895e-005	1.581560e+002
4.361298217131038e-005	1.581150e+002
4.362155359988180e-005	1.580000e+002
4.553155359988081e-005	1.582500e+002
4.554083931416652e-005	1.585804e+002
4.555012502845223e-005	1.588363e+002
4.555941074273794e-005	1.590179e+002
4.556869645702365e-005	1.591250e+002
4.557798217130936e-005	1.591578e+002
4.558726788559506e-005	1.591161e+002
4.559655359988078e-005	1.590000e+002
4.599155359988057e-005	1.590000e+002
4.738155359987985e-005	1.592500e+002
4.739083931416556e-005	1.595804e+002
4.740012502845127e-005	1.598363e+002
4.740941074273698e-005	1.600179e+002
4.741869645702269e-005	1.601250e+002
4.742798217130840e-005	1.601578e+002
4.743726788559411e-005	1.601161e+002
4.744655359987982e-005	1.600000e+002
4.912155359987895e-005	1.602500e+002
4.913083931416466e-005	1.605804e+002
4.914012502845037e-005	1.608363e+002
4.914941074273608e-005	1.610179e+002
4.915869645702179e-005	1.611250e+002
4.916798217130750e-005	1.611578e+002
4.917726788559321e-005	1.611161e+002
4.918655359987892e-005	1.610000e+002
5.076655359987810e-005	1.612500e+002
5.077583931416381e-005	1.615804e+002
5.078512502844952e-005	1.618363e+002
5.079441074273523e-005	1.620179e+002
5.080369645702094e-005	1.621250e+002
5.081298217130665e-005	1.621578e+002
5.082226788559235e-005	1.621161e+002
5.083155359987807e-005	1.620000e+002
5.111155359987792e-005	1.620000e+002
5.232155359987729e-005	1.622500e+002
5.233083931416301e-005	1.625804e+002
5.234012502844871e-005	1.628363e+002
5.234941074273442e-005	1.630179e+002
5.235869645702013e-005	1.631250e+002
5.236798217130584e-005	1.631578e+002
5.237726788559155e-005	1.631161e+002
5.238655359987726e-005	1.630000e+002
