time	V(vquantised)
4.151453577120262e-005	1.570158e+002
4.153167862834548e-005	1.571229e+002
4.154882148548834e-005	1.571560e+002
4.156596434263120e-005	1.571150e+002
4.158310719977406e-005	1.570000e+002
4.356310719977438e-005	1.572500e+002
4.358025005691724e-005	1.575793e+002
4.359739291406010e-005	1.578346e+002
4.361453577120296e-005	1.580158e+002
4.363167862834582e-005	1.581229e+002
4.364882148548868e-005	1.581560e+002
4.366596434263154e-005	1.581150e+002
4.368310719977440e-005	1.580000e+002
4.553310719977469e-005	1.582500e+002
4.555167862834612e-005	1.585804e+002
4.557025005691755e-005	1.588363e+002
4.558882148548899e-005	1.590179e+002
4.560739291406042e-005	1.591250e+002
4.562596434263185e-005	1.591578e+002
4.564453577120328e-005	1.591161e+002
4.566310719977471e-005	1.590000e+002
4.738310719977499e-005	1.592500e+002
4.740167862834642e-005	1.595804e+002
4.742025005691785e-005	1.598363e+002
4.743882148548928e-005	1.600179e+002
4.745739291406071e-005	1.601250e+002
4.747596434263215e-005	1.601578e+002
4.749453577120358e-005	1.601161e+002
4.751310719977501e-005	1.600000e+002
4.912310719977527e-005	1.602500e+002
4.914167862834670e-005	1.605804e+002
4.916025005691813e-005	1.608363e+002
4.917882148548956e-005	1.610179e+002
4.919739291406099e-005	1.611250e+002
4.921596434263242e-005	1.611578e+002
4.923453577120385e-005	1.611161e+002
4.925310719977529e-005	1.610000e+002
5.076310719977553e-005	1.612500e+002
5.078167862834696e-005	1.615804e+002
5.080025005691839e-005	1.618363e+002
5.081882148548982e-005	1.620179e+002
5.083739291406125e-005	1.621250e+002
5.085596434263269e-005	1.621578e+002
5.087453577120412e-005	1.621161e+002
5.089310719977555e-005	1.620000e+002
5.102310719977557e-005	1.620000e+002
5.232310719977578e-005	1.622500e+002
5.234167862834721e-005	1.625804e+002
5.236025005691864e-005	1.628363e+002
5.237882148549007e-005	1.630179e+002
5.239739291406150e-005	1.631250e+002
5.241596434263293e-005	1.631578e+002
5.243453577120437e-005	1.631161e+002
5.245310719977580e-005	1.630000e+002
5.379310719977601e-005	1.632500e+002
5.381167862834744e-005	1.635804e+002
5.383025005691887e-005	1.638363e+002
5.384882148549031e-005	1.640179e+002
5.386739291406174e-005	1.641250e+002
5.388596434263317e-005	1.641578e+002
5.390453577120460e-005	1.641161e+002
5.392310719977603e-005	1.640000e+002
5.520310719977624e-005	1.642500e+002
5.522167862834767e-005	1.645804e+002
5.524025005691910e-005	1.648363e+002
5.525882148549053e-005	1.650179e+002
5.527739291406196e-005	1.651250e+002
5.529596434263339e-005	1.651578e+002
5.531453577120483e-005	1.651161e+002
5.533310719977626e-005	1.650000e+002
5.655310719977645e-005	1.652500e+002
5.657167862834788e-005	1.655804e+002
5.659025005691932e-005	1.658363e+002
5.660882148549075e-005	1.660179e+002
5.662739291406218e-005	1.661250e+002
5.664596434263361e-005	1.661578e+002
5.666453577120504e-005	1.661161e+002
5.668310719977647e-005	1.660000e+002
5.785310719977666e-005	1.662500e+002
5.787167862834809e-005	1.665804e+002
5.789025005691952e-005	1.668363e+002
5.790882148549096e-005	1.670179e+002
5.792739291406239e-005	1.671250e+002
5.794596434263382e-005	1.671578e+002
5.796453577120525e-005	1.671161e+002
5.798310719977668e-005	1.670000e+002
5.910310719977686e-005	1.672500e+002
5.912310719977686e-005	1.675812e+002
5.914310719977687e-005	1.678377e+002
5.916310719977687e-005	1.680196e+002
5.918310719977687e-005	1.681267e+002
5.920310719977688e-005	1.681592e+002
5.922310719977688e-005	1.681169e+002
5.924310719977688e-005	1.680000e+002
6.031310719977705e-005	1.682500e+002
6.033310719977706e-005	1.685812e+002
6.035310719977706e-005	1.688377e+002
6.037310719977706e-005	1.690196e+002
6.039310719977707e-005	1.691267e+002
6.041310719977707e-005	1.691592e+002
6.043310719977707e-005	1.691169e+002
6.045310719977708e-005	1.690000e+002
6.126310719977705e-005	1.690000e+002
6.148310719977694e-005	1.692500e+002
6.150310719977693e-005	1.695812e+002
6.152310719977692e-005	1.698377e+002
6.154310719977690e-005	1.700196e+002
6.156310719977689e-005	1.701267e+002
6.158310719977688e-005	1.701592e+002
6.160310719977687e-005	1.701169e+002
6.162310719977686e-005	1.700000e+002
6.262310719977635e-005	1.702500e+002
6.264310719977634e-005	1.705812e+002
6.266310719977633e-005	1.708377e+002
6.268310719977631e-005	1.710196e+002
6.270310719977630e-005	1.711267e+002
6.272310719977629e-005	1.711592e+002
6.274310719977628e-005	1.711169e+002
6.276310719977627e-005	1.710000e+002
6.373310719977577e-005	1.712500e+002
6.375310719977576e-005	1.715812e+002
6.377310719977575e-005	1.718377e+002
6.379310719977574e-005	1.720196e+002
6.381310719977573e-005	1.721267e+002
6.383310719977572e-005	1.721592e+002
6.385310719977571e-005	1.721169e+002
6.387310719977570e-005	1.720000e+002
6.482310719977521e-005	1.722500e+002
6.484310719977520e-005	1.725812e+002
6.486310719977519e-005	1.728377e+002
6.488310719977518e-005	1.730196e+002
6.490310719977517e-005	1.731267e+002
6.492310719977515e-005	1.731592e+002
6.494310719977514e-005	1.731169e+002
6.496310719977513e-005	1.730000e+002
6.588310719977466e-005	1.732500e+002
6.590310719977465e-005	1.735812e+002
6.592310719977464e-005	1.738377e+002
6.594310719977463e-005	1.740196e+002
6.596310719977462e-005	1.741267e+002
6.598310719977461e-005	1.741592e+002
6.600310719977460e-005	1.741169e+002
6.602310719977459e-005	1.740000e+002
6.692310719977412e-005	1.742500e+002
