time	V(vquantised)
0.000000000000000e+000	1.320000e+002
3.771553599884975e-007	1.322500e+002
3.786553599884975e-007	1.330000e+002
5.031553599884964e-007	1.330000e+002
1.015155359988535e-006	1.330000e+002
1.413155359988565e-006	1.332500e+002
1.414655359988565e-006	1.340000e+002
1.527155359988573e-006	1.340000e+002
2.039155359988556e-006	1.340000e+002
2.474655359988404e-006	1.342500e+002
2.476155359988404e-006	1.350000e+002
2.551155359988378e-006	1.350000e+002
3.063155359988199e-006	1.350000e+002
3.565155359988024e-006	1.352500e+002
3.566655359988024e-006	1.360000e+002
3.575155359988021e-006	1.360000e+002
4.087155359988073e-006	1.360000e+002
4.599155359988329e-006	1.360000e+002
4.687655359988373e-006	1.362500e+002
4.689155359988373e-006	1.370000e+002
5.111155359988584e-006	1.370000e+002
5.623155359988839e-006	1.370000e+002
5.846655359988951e-006	1.372500e+002
5.848155359988951e-006	1.380000e+002
6.135155359989094e-006	1.380000e+002
6.647155359989350e-006	1.380000e+002
7.045155359989548e-006	1.382500e+002
7.046655359989549e-006	1.390000e+002
7.159155359989605e-006	1.390000e+002
7.671155359989789e-006	1.390000e+002
8.183155359989177e-006	1.390000e+002
8.289155359989050e-006	1.392500e+002
8.290655359989049e-006	1.400000e+002
8.695155359988565e-006	1.400000e+002
9.207155359987953e-006	1.400000e+002
9.583655359987503e-006	1.402500e+002
9.585155359987501e-006	1.410000e+002
9.719155359987341e-006	1.410000e+002
1.023115535998673e-005	1.410000e+002
1.074315535998612e-005	1.410000e+002
1.093565535998589e-005	1.412500e+002
1.093715535998589e-005	1.420000e+002
1.125515535998551e-005	1.420000e+002
1.176715535998489e-005	1.420000e+002
1.227915535998428e-005	1.420000e+002
1.235165535998419e-005	1.422500e+002
1.235315535998419e-005	1.430000e+002
1.279115535998367e-005	1.430000e+002
1.330315535998306e-005	1.430000e+002
1.381515535998245e-005	1.430000e+002
1.384115535998241e-005	1.432500e+002
1.384265535998241e-005	1.440000e+002
1.432715535998183e-005	1.440000e+002
1.483915535998122e-005	1.440000e+002
1.535115535998092e-005	1.440000e+002
1.541365535998106e-005	1.442500e+002
1.541515535998106e-005	1.450000e+002
1.586315535998204e-005	1.450000e+002
1.637515535998317e-005	1.450000e+002
1.688715535998429e-005	1.450000e+002
1.708015535998471e-005	1.452500e+002
1.708165535998472e-005	1.460000e+002
1.739915535998541e-005	1.460000e+002
1.791115535998654e-005	1.460000e+002
1.842315535998766e-005	1.460000e+002
1.885165535998860e-005	1.462500e+002
1.885315535998860e-005	1.470000e+002
1.893515535998878e-005	1.470000e+002
1.944715535998990e-005	1.470000e+002
1.995915535999103e-005	1.470000e+002
2.047115535999215e-005	1.470000e+002
2.074015535999274e-005	1.472500e+002
2.074165535999274e-005	1.480000e+002
2.098315535999327e-005	1.480000e+002
2.149515535999439e-005	1.480000e+002
2.200715535999552e-005	1.480000e+002
2.251915535999664e-005	1.480000e+002
2.275565535999716e-005	1.482500e+002
2.275715535999716e-005	1.490000e+002
2.303115535999776e-005	1.490000e+002
2.354315535999888e-005	1.490000e+002
2.405515536000001e-005	1.490000e+002
2.456715536000113e-005	1.490000e+002
2.490215536000186e-005	1.492500e+002
2.490301250285901e-005	1.495793e+002
2.490386964571615e-005	1.498346e+002
2.490472678857330e-005	1.500158e+002
2.490558393143044e-005	1.501229e+002
2.490644107428759e-005	1.501560e+002
2.490729821714473e-005	1.501150e+002
2.490815536000188e-005	1.500000e+002
2.507915536000225e-005	1.500000e+002
2.559115536000338e-005	1.500000e+002
2.610315536000450e-005	1.500000e+002
2.661515536000562e-005	1.500000e+002
2.712715536000674e-005	1.500000e+002
2.717565536000685e-005	1.502500e+002
2.717651250286400e-005	1.505793e+002
2.717736964572114e-005	1.508346e+002
2.717822678857828e-005	1.510158e+002
2.717908393143543e-005	1.511229e+002
2.717994107429258e-005	1.511560e+002
2.718079821714972e-005	1.511150e+002
2.718165536000686e-005	1.510000e+002
2.763915536000787e-005	1.510000e+002
2.815115536000899e-005	1.510000e+002
2.866315536001011e-005	1.510000e+002
2.917515536001123e-005	1.510000e+002
2.955515536001207e-005	1.512500e+002
2.955601250286921e-005	1.515793e+002
2.955686964572636e-005	1.518346e+002
2.955772678858350e-005	1.520158e+002
2.955858393144065e-005	1.521229e+002
2.955944107429779e-005	1.521560e+002
2.956029821715494e-005	1.521150e+002
2.956115536001208e-005	1.520000e+002
2.968715536001236e-005	1.520000e+002
3.019915536001348e-005	1.520000e+002
3.071115536001460e-005	1.520000e+002
3.122315536001572e-005	1.520000e+002
3.173515536001684e-005	1.520000e+002
3.200415536001743e-005	1.522500e+002
3.200501250287458e-005	1.525793e+002
3.200586964573173e-005	1.528346e+002
3.200672678858887e-005	1.530158e+002
3.200758393144601e-005	1.531229e+002
3.200844107430316e-005	1.531560e+002
3.200929821716030e-005	1.531150e+002
3.201015536001745e-005	1.530000e+002
3.224715536001797e-005	1.530000e+002
3.275915536001909e-005	1.530000e+002
3.327115536002021e-005	1.530000e+002
3.378315536002133e-005	1.530000e+002
3.429515536002246e-005	1.530000e+002
3.446965536002284e-005	1.532500e+002
3.447051250287999e-005	1.535793e+002
3.447136964573713e-005	1.538346e+002
3.447222678859428e-005	1.540158e+002
3.447308393145142e-005	1.541229e+002
3.447394107430856e-005	1.541560e+002
3.447479821716571e-005	1.541150e+002
3.447565536002285e-005	1.540000e+002
3.480715536002358e-005	1.540000e+002
3.531915536002470e-005	1.540000e+002
3.583115536002583e-005	1.540000e+002
3.634315536002695e-005	1.540000e+002
3.685515536002807e-005	1.540000e+002
3.689665536002816e-005	1.542500e+002
3.689751250288531e-005	1.545793e+002
3.689836964574245e-005	1.548346e+002
3.689922678859960e-005	1.550158e+002
3.690008393145674e-005	1.551229e+002
3.690094107431388e-005	1.551560e+002
3.690179821717103e-005	1.551150e+002
3.690265536002818e-005	1.550000e+002
3.736715536002919e-005	1.550000e+002
3.787915536003032e-005	1.550000e+002
3.839115536003144e-005	1.550000e+002
3.890315536003256e-005	1.550000e+002
3.923815536003330e-005	1.552500e+002
3.923901250289044e-005	1.555793e+002
3.923986964574759e-005	1.558346e+002
3.924072678860473e-005	1.560158e+002
3.924158393146187e-005	1.561229e+002
3.924244107431902e-005	1.561560e+002
3.924329821717616e-005	1.561150e+002
3.924415536003331e-005	1.560000e+002
3.941515536003368e-005	1.560000e+002
3.992715536003481e-005	1.560000e+002
4.043915536003593e-005	1.560000e+002
4.095115536003705e-005	1.560000e+002
4.146315536003817e-005	1.560000e+002
4.146465536003818e-005	1.564025e+002
4.146615536003818e-005	1.567184e+002
4.146765536003818e-005	1.569478e+002
4.146915536003819e-005	1.570907e+002
4.147065536003819e-005	1.571470e+002
4.147215536003819e-005	1.571168e+002
4.147365536003820e-005	1.570000e+002
4.197515536003930e-005	1.570000e+002
4.248715536004042e-005	1.570000e+002
4.299915536004154e-005	1.570000e+002
4.351115536004267e-005	1.570000e+002
4.356315536004278e-005	1.572500e+002
4.356401250289993e-005	1.575793e+002
4.356486964575707e-005	1.578346e+002
4.356572678861422e-005	1.580158e+002
4.356658393147136e-005	1.581229e+002
4.356744107432850e-005	1.581560e+002
4.356829821718565e-005	1.581150e+002
4.356915536004279e-005	1.580000e+002
4.402315536004379e-005	1.580000e+002
4.453515536004491e-005	1.580000e+002
