time,Quantized
0.0,132
2e-06,134
4e-06,136
6e-06,138
8e-06,139
9.999999999999999e-06,141
1.2e-05,142
1.4e-05,144
1.6e-05,145
1.8e-05,146
1.9999999999999998e-05,147
2.2e-05,148
2.4e-05,149
2.6e-05,150
2.8e-05,151
2.9999999999999997e-05,152
3.2e-05,153
3.4e-05,153
3.6e-05,154
3.7999999999999995e-05,155
3.9999999999999996e-05,156
4.2e-05,157
4.4e-05,158
4.6e-05,159
4.8e-05,160
4.9999999999999996e-05,161
5.2e-05,162
5.4e-05,164
5.6e-05,165
5.8e-05,167
5.9999999999999995e-05,168
6.2e-05,170
6.4e-05,172
6.599999999999999e-05,174
6.8e-05,175
7e-05,177
7.2e-05,179
7.4e-05,182
7.599999999999999e-05,184
7.8e-05,186
7.999999999999999e-05,188
8.2e-05,191
8.4e-05,193
8.599999999999999e-05,195
8.8e-05,197
8.999999999999999e-05,199
9.2e-05,201
9.4e-05,202
9.6e-05,204
9.8e-05,206
9.999999999999999e-05,207
0.000102,209
0.000104,210
0.000106,211
0.000108,212
0.00010999999999999999,214
0.000112,215
0.00011399999999999999,215
0.000116,216
0.000118,217
0.00011999999999999999,218
0.000122,218
0.000124,219
0.000126,219
0.000128,220
0.00013,220
0.00013199999999999998,220
0.000134,220
0.000136,221
0.000138,221
0.00014,221
0.00014199999999999998,222
0.000144,222
0.000146,223
0.000148,224
0.00015,225
0.00015199999999999998,225
0.000154,226
0.000156,227
0.000158,228
0.00015999999999999999,229
0.00016199999999999998,231
0.000164,232
0.000166,233
0.000168,235
0.00016999999999999999,236
0.00017199999999999998,238
0.000174,239
0.000176,240
0.000178,242
0.00017999999999999998,243
0.00018199999999999998,244
0.000184,246
0.000186,247
0.000188,248
0.00018999999999999998,250
0.000192,251
0.000194,251
0.000196,252
0.000198,253
0.00019999999999999998,254
0.000202,254
0.000204,255
0.000206,255
0.000208,255
0.00020999999999999998,255
0.000212,255
0.000214,255
0.000216,255
0.00021799999999999999,255
0.00021999999999999998,255
0.000222,254
0.000224,254
0.000226,253
0.00022799999999999999,253
0.00022999999999999998,252
0.000232,251
0.000234,251
0.000236,251
0.00023799999999999998,250
0.00023999999999999998,250
0.000242,250
0.000244,249
0.00024599999999999996,249
0.000248,249
0.00025,249
0.000252,249
0.000254,249
0.000256,249
0.000258,249
0.00026,250
0.00026199999999999997,250
0.00026399999999999997,250
0.000266,251
0.000268,251
0.00027,251
0.000272,252
0.000274,253
0.000276,253
0.000278,254
0.00028,254
0.00028199999999999997,255
0.00028399999999999996,255
0.000286,255
0.000288,255
0.00029,255
0.000292,255
0.000294,255
0.000296,255
0.000298,254
0.0003,254
0.00030199999999999997,253
0.00030399999999999996,253
0.000306,252
0.000308,251
0.00031,250
0.000312,249
0.000314,248
0.000316,246
0.000318,245
0.00031999999999999997,243
0.00032199999999999997,242
0.00032399999999999996,240
0.000326,239
0.000328,237
0.00033,236
0.000332,235
0.000334,233
0.000336,232
0.000338,231
0.00033999999999999997,230
0.00034199999999999996,229
0.00034399999999999996,228
0.000346,227
0.000348,226
0.00035,225
0.000352,224
0.000354,223
0.000356,223
0.000358,222
0.00035999999999999997,221
0.00036199999999999996,221
0.00036399999999999996,221
0.000366,220
0.000368,220
0.00037,219
0.000372,219
0.000374,218
0.000376,218
0.00037799999999999997,217
0.00037999999999999997,217
0.00038199999999999996,217
0.000384,216
0.000386,215
0.000388,215
0.00039,214
0.000392,213
0.000394,212
0.000396,210
0.00039799999999999997,209
0.00039999999999999996,208
0.00040199999999999996,206
0.000404,205
0.000406,203
0.000408,201
0.00041,199
0.000412,197
0.000414,195
0.000416,193
0.00041799999999999997,191
0.00041999999999999996,188
0.00042199999999999996,186
0.000424,184
0.000426,182
0.000428,180
0.00043,178
0.000432,176
0.000434,174
0.00043599999999999997,172
0.00043799999999999997,170
0.00043999999999999996,168
0.00044199999999999996,167
0.000444,165
0.000446,164
0.000448,162
0.00045,161
0.000452,160
0.000454,158
0.00045599999999999997,157
0.00045799999999999997,156
0.00045999999999999996,155
0.00046199999999999995,155
0.000464,154
0.000466,153
0.000468,152
0.00047,151
0.000472,150
0.000474,150
0.00047599999999999997,149
0.00047799999999999996,148
0.00047999999999999996,147
0.00048199999999999995,146
0.000484,145
0.000486,143
0.000488,142
0.00049,141
0.0004919999999999999,139
0.000494,138
0.000496,136
0.000498,134
0.0005,132
0.000502,130
0.000504,128
0.0005059999999999999,126
0.000508,124
0.0005099999999999999,122
0.000512,119
0.000514,117
0.000516,115
0.000518,112
0.00052,110
0.000522,108
0.0005239999999999999,105
0.000526,103
0.0005279999999999999,101
0.00053,99
0.000532,97
0.000534,95
0.000536,93
0.000538,91
0.00054,90
0.000542,88
0.000544,86
0.0005459999999999999,85
0.000548,84
0.0005499999999999999,83
0.000552,81
0.000554,80
0.000556,80
0.000558,79
0.00056,78
0.000562,77
0.0005639999999999999,76
0.000566,76
0.0005679999999999999,75
0.00057,74
0.000572,73
0.000574,73
0.000576,72
0.000578,71
0.00058,70
0.0005819999999999999,69
0.000584,68
0.0005859999999999999,67
0.000588,66
0.0005899999999999999,65
0.000592,63
0.000594,62
0.000596,60
0.000598,58
0.0006,57
0.000602,55
0.0006039999999999999,53
0.000606,51
0.0006079999999999999,49
0.00061,47
0.000612,45
0.000614,43
0.000616,41
0.000618,39
0.00062,37
0.0006219999999999999,36
0.000624,34
0.0006259999999999999,32
0.000628,30
0.0006299999999999999,29
0.000632,27
0.000634,26
0.000636,25
0.000638,24
0.0006399999999999999,23
0.000642,22
0.0006439999999999999,21
