time	V(vquantised)
2.005964342804765e-004	2.538230e+002
2.057392914233336e-004	2.549162e+002
2.108821485661907e-004	2.553804e+002
2.160250057090479e-004	2.552158e+002
2.211678628519050e-004	2.544224e+002
2.263107199947621e-004	2.530000e+002
2.333107199947622e-004	2.510194e+002
2.403107199947623e-004	2.496989e+002
2.473107199947624e-004	2.490387e+002
2.543107199947625e-004	2.490387e+002
2.613107199947627e-004	2.496989e+002
2.683107199947627e-004	2.510194e+002
2.753107199947628e-004	2.530000e+002
2.821678628519059e-004	2.547408e+002
2.890250057090489e-004	2.553300e+002
2.958821485661919e-004	2.547674e+002
3.027392914233350e-004	2.530531e+002
3.095964342804780e-004	2.501871e+002
3.164535771376210e-004	2.461694e+002
3.233107199947640e-004	2.410000e+002
3.283107199947641e-004	2.371688e+002
3.333107199947642e-004	2.336980e+002
3.383107199947644e-004	2.305876e+002
3.433107199947645e-004	2.278376e+002
3.483107199947646e-004	2.254480e+002
3.533107199947647e-004	2.234188e+002
3.583107199947649e-004	2.217500e+002
3.620250057090507e-004	2.209780e+002
3.657392914233364e-004	2.201896e+002
3.694535771376223e-004	2.193846e+002
3.731678628519081e-004	2.185632e+002
3.768821485661939e-004	2.177253e+002
3.805964342804797e-004	2.168709e+002
3.843107199947655e-004	2.160000e+002
3.875964342804798e-004	2.147531e+002
3.908821485661942e-004	2.132432e+002
3.941678628519086e-004	2.114704e+002
3.974535771376229e-004	2.094347e+002
4.007392914233373e-004	2.071361e+002
4.040250057090517e-004	2.045745e+002
4.073107199947660e-004	2.017500e+002
4.091678628519090e-004	2.000566e+002
4.110250057090519e-004	1.982729e+002
4.128821485661948e-004	1.963989e+002
4.147392914233376e-004	1.944346e+002
4.165964342804805e-004	1.923800e+002
4.184535771376234e-004	1.902352e+002
4.203107199947664e-004	1.880000e+002
4.234535771376236e-004	1.848165e+002
4.265964342804808e-004	1.816584e+002
4.297392914233380e-004	1.785258e+002
4.328821485661953e-004	1.754187e+002
4.360250057090525e-004	1.723370e+002
4.391678628519097e-004	1.692808e+002
4.423107199947669e-004	1.662500e+002
4.453107199947670e-004	1.640181e+002
4.483107199947670e-004	1.619468e+002
4.513107199947671e-004	1.600361e+002
4.543107199947672e-004	1.582861e+002
4.573107199947673e-004	1.566968e+002
4.603107199947673e-004	1.552681e+002
4.633107199947674e-004	1.540000e+002
4.655964342804817e-004	1.530889e+002
4.678821485661961e-004	1.521600e+002
4.701678628519104e-004	1.512134e+002
4.724535771376248e-004	1.502491e+002
4.747392914233391e-004	1.492671e+002
4.770250057090535e-004	1.482674e+002
4.793107199947678e-004	1.472500e+002
4.815964342804821e-004	1.460424e+002
4.838821485661964e-004	1.447373e+002
4.861678628519108e-004	1.433348e+002
4.884535771376252e-004	1.418348e+002
4.907392914233395e-004	1.402373e+002
4.930250057090538e-004	1.385424e+002
4.953107199947681e-004	1.367500e+002
4.973107199947682e-004	1.350000e+002
4.993107199947682e-004	1.330000e+002
5.013107199947683e-004	1.310000e+002
5.023107199947683e-004	1.300000e+002
5.033107199947683e-004	1.290000e+002
5.043107199947683e-004	1.280000e+002
5.053107199947684e-004	1.270000e+002
5.063107199947684e-004	1.260000e+002
5.073107199947684e-004	1.250000e+002
5.093107199947685e-004	1.227500e+002
5.123107199947685e-004	1.190000e+002
5.153107199947686e-004	1.157500e+002
5.183107199947687e-004	1.120000e+002
5.213107199947688e-004	1.087500e+002
5.243107199947688e-004	1.050000e+002
5.267392914233404e-004	1.025309e+002
5.291678628519118e-004	1.000872e+002
5.315964342804833e-004	9.766890e+001
5.340250057090548e-004	9.527604e+001
5.364535771376263e-004	9.290861e+001
