time	V(vout)
2.325223468987130e-03	4.608491e+00
2.333788544158180e-03	4.544794e+00
2.341678261328337e-03	4.416378e+00
2.345473954248919e-03	4.330060e+00
2.351490847700735e-03	4.164208e+00
2.360420093613442e-03	3.870425e+00
2.370185718613442e-03	3.527070e+00
2.379951343613442e-03	3.213964e+00
2.387514768129528e-03	3.017421e+00
2.393066685512872e-03	2.902994e+00
2.398547798014560e-03	2.812554e+00
2.416612674092495e-03	2.586883e+00
2.426378299092495e-03	2.426361e+00
2.432977914556583e-03	2.271902e+00
2.437599882776784e-03	2.137283e+00
2.440678709968502e-03	2.035452e+00
2.445620119290045e-03	1.853179e+00
2.453233544760437e-03	1.535843e+00
2.462999169760437e-03	1.097106e+00
2.472764794760437e-03	6.752286e-01
2.480460222347760e-03	3.868994e-01
2.483844421445131e-03	2.767133e-01
2.485486287404324e-03	2.271352e-01
2.488156593454120e-03	1.518778e-01
2.492465178167616e-03	4.386398e-02
2.499217895368140e-03	-9.697052e-02
2.508916645679291e-03	-2.636822e-01
2.518682270679291e-03	-4.368923e-01
2.527545992409716e-03	-6.409545e-01
2.531818080988886e-03	-7.629856e-01
2.535753069548162e-03	-8.902155e-01
2.539487764444396e-03	-1.023697e+00
2.545415137567611e-03	-1.257795e+00
2.564008565465324e-03	-2.066311e+00
2.573774190465324e-03	-2.443262e+00
2.581633066072861e-03	-2.683121e+00
2.587093048395137e-03	-2.811795e+00
2.592489126875324e-03	-2.910417e+00
2.600683557686199e-03	-3.018377e+00
2.610449182686199e-03	-3.117261e+00
2.620214807686199e-03	-3.235292e+00
2.629819117079728e-03	-3.411147e+00
2.634694964738106e-03	-3.528705e+00
2.639543239853727e-03	-3.663220e+00
2.656799232848104e-03	-4.216344e+00
2.666564857848104e-03	-4.501112e+00
2.674438812599428e-03	-4.671823e+00
2.682131682442553e-03	-4.772948e+00
2.686320113198886e-03	-4.800402e+00
2.692903293299770e-03	-4.809347e+00
2.712201081626761e-03	-4.718548e+00
2.721324476621329e-03	-4.700731e+00
2.729831726169244e-03	-4.736000e+00
2.739348473469074e-03	-4.836416e+00
2.757842288694028e-03	-5.098632e+00
2.767607913694028e-03	-5.174889e+00
2.775752266257255e-03	-5.164263e+00
2.781121703189425e-03	-5.115796e+00
2.786433705951550e-03	-5.037508e+00
2.794523270149159e-03	-4.872517e+00
2.814054520149159e-03	-4.410907e+00
2.823933231947480e-03	-4.240308e+00
2.833463678323031e-03	-4.145566e+00
2.850593676436465e-03	-4.077986e+00
2.860359301436465e-03	-4.014153e+00
2.868410601498331e-03	-3.903007e+00
2.876098847368876e-03	-3.732594e+00
2.880161872298256e-03	-3.616915e+00
2.886566197966795e-03	-3.403421e+00
2.905681078856009e-03	-2.659900e+00
2.915064438012184e-03	-2.327254e+00
2.921671645653707e-03	-2.133343e+00
2.927510077334685e-03	-1.993055e+00
2.933253972610294e-03	-1.880592e+00
2.951634596661709e-03	-1.595766e+00
2.961400221661709e-03	-1.403631e+00
2.967433644730172e-03	-1.244818e+00
2.971871162345642e-03	-1.105102e+00
2.975129773469079e-03	-9.902031e-01
2.980345434464071e-03	-7.864964e-01
2.988313365067848e-03	-4.391646e-01
2.998078990067848e-03	1.025492e-02
3.007844615067847e-03	4.326270e-01
3.014995531222300e-03	6.973156e-01
3.018036957483770e-03	7.953116e-01
3.019811951807061e-03	8.483003e-01
3.022697056869835e-03	9.278930e-01
3.027339955818068e-03	1.039873e+00
3.034554416953620e-03	1.181011e+00
3.044320041953619e-03	1.337107e+00
3.054085666953619e-03	1.502448e+00
3.062340918328392e-03	1.685476e+00
3.067605047052520e-03	1.831708e+00
3.073932681046498e-03	2.039141e+00
3.080116968143802e-03	2.270619e+00
3.098997177836257e-03	3.035539e+00
3.108679635409319e-03	3.368278e+00
3.115760271051817e-03	3.553808e+00
3.121458829111020e-03	3.663820e+00
3.127074864596103e-03	3.740535e+00
3.135537805230665e-03	3.811198e+00
3.145303430230665e-03	3.863850e+00
3.155069055230665e-03	3.937444e+00
3.163952821412788e-03	4.057173e+00
3.174163803813696e-03	4.268934e+00
3.191729549905696e-03	4.731749e+00
3.201495174905696e-03	4.951186e+00
3.208909520052170e-03	5.060530e+00
3.216609457930004e-03	5.108873e+00
3.221096193798826e-03	5.106580e+00
3.228096847363358e-03	5.064992e+00
3.247628097363358e-03	4.841984e+00
3.260155556169582e-03	4.759829e+00
3.267820349837105e-03	4.765759e+00
3.282785679885504e-03	4.868526e+00
3.292551304885504e-03	4.936597e+00
3.302316929885504e-03	4.942388e+00
3.309850511908527e-03	4.880070e+00
3.315411619447985e-03	4.792836e+00
3.320901213583288e-03	4.674922e+00
3.329210850348570e-03	4.450179e+00
3.348742100348570e-03	3.872847e+00
3.358040503978010e-03	3.661752e+00
3.363024441125735e-03	3.576722e+00
3.367975017132402e-03	3.510498e+00
3.385366108004787e-03	3.353322e+00
3.395131733004787e-03	3.237837e+00
3.402809407413462e-03	3.092544e+00
3.407828322481207e-03	2.964660e+00
3.414826291865937e-03	2.742412e+00
3.421595331371040e-03	2.485671e+00
3.441075385822529e-03	1.659773e+00
3.449913449893316e-03	1.327396e+00
3.454163064979727e-03	1.190218e+00
3.458092165302797e-03	1.077866e+00
3.461832355948642e-03	9.835516e-01
3.467767811027005e-03	8.562715e-01
3.476604837511067e-03	7.013239e-01
3.486370462511067e-03	5.372727e-01
3.496136087511067e-03	3.292685e-01
3.501745698850879e-03	1.744408e-01
3.503968300598301e-03	1.048619e-01
3.506053583420620e-03	3.529217e-02
3.509436651830360e-03	-8.615751e-02
3.514840484963775e-03	-3.001837e-01
3.523044526969935e-03	-6.597765e-01
3.532810151969935e-03	-1.104625e+00
3.542575776969935e-03	-1.514273e+00
3.549338167030420e-03	-1.753029e+00
3.554015889799677e-03	-1.891551e+00
3.557039651115245e-03	-1.969269e+00
3.561896513788472e-03	-2.075857e+00
3.569398283323409e-03	-2.204119e+00
3.588929533323408e-03	-2.477754e+00
3.596787169285587e-03	-2.631797e+00
3.604480404461024e-03	-2.830994e+00
3.608680062703550e-03	-2.959978e+00
3.615279161568536e-03	-3.186037e+00
3.634592877238305e-03	-3.883909e+00
3.643692428781796e-03	-4.143973e+00
3.652171056788119e-03	-4.308675e+00
3.661701791905412e-03	-4.402176e+00
3.670439641019734e-03	-4.424190e+00
3.680205266019734e-03	-4.421741e+00
3.689970891019734e-03	-4.442869e+00
3.700138362675394e-03	-4.530937e+00
3.708786170989231e-03	-4.665572e+00
3.726651615718185e-03	-5.022781e+00
3.736417240718185e-03	-5.171658e+00
3.746269283113278e-03	-5.228462e+00
3.755818766147210e-03	-5.178944e+00
3.763195591658283e-03	-5.080284e+00
3.782726841658283e-03	-4.725494e+00
3.794377829339183e-03	-4.576896e+00
3.802525138974850e-03	-4.532535e+00
3.818315289412396e-03	-4.543659e+00
3.828080914412396e-03	-4.543899e+00
3.837438893945598e-03	-4.480638e+00
3.846240649734670e-03	-4.337600e+00
3.855611760189539e-03	-4.094031e+00
3.864238500678815e-03	-3.807867e+00
3.874004125678815e-03	-3.457458e+00
3.883769750678815e-03	-3.132339e+00
3.892200355826460e-03	-2.903931e+00
3.897477200392086e-03	-2.790716e+00
3.902702898256161e-03	-2.699484e+00
3.920449197720803e-03	-2.467564e+00
3.930214822720803e-03	-2.309418e+00
3.937345308009987e-03	-2.144868e+00
3.942154224866719e-03	-2.005001e+00
3.945046896575429e-03	-1.909465e+00
3.949701510376879e-03	-1.738904e+00
3.956931873343957e-03	-1.439904e+00
3.966697498343956e-03	-1.000593e+00
3.976463123343956e-03	-5.720603e-01
3.984697100751750e-03	-2.565991e-01
3.988459914040759e-03	-1.322264e-01
3.989951700790625e-03	-8.662054e-02
3.992379177955081e-03	-1.689496e-02
3.996306039927923e-03	8.453168e-02
4.002514049718517e-03	2.195589e-01
4.011654431389153e-03	3.809920e-01
4.021420056389152e-03	5.475744e-01
4.031071403192885e-03	7.563773e-01
4.036131218722672e-03	8.956913e-01
4.040279920764970e-03	1.027294e+00
4.043814080124922e-03	1.151481e+00
4.049444390641448e-03	1.369688e+00
4.067690082561160e-03	2.156543e+00
4.077455707561160e-03	2.538017e+00
4.083736160630427e-03	2.739470e+00
4.088252443163017e-03	2.858955e+00
4.091434703482169e-03	2.930273e+00
4.096534236156485e-03	3.023868e+00
4.104353520610868e-03	3.127342e+00
4.123884770610868e-03	3.328533e+00
4.131269554804968e-03	3.445702e+00
4.138969747990770e-03	3.613487e+00
4.143474501051168e-03	3.732823e+00
4.160265618848789e-03	4.255190e+00
4.170031243848789e-03	4.540257e+00
4.178532840156094e-03	4.726481e+00
4.186358454361670e-03	4.828706e+00
4.196201080796113e-03	4.863307e+00
4.214915983742461e-03	4.764326e+00
4.224681608742461e-03	4.726557e+00
4.234310544879486e-03	4.750605e+00
4.243253994639357e-03	4.832834e+00
4.261339344513829e-03	5.073647e+00
4.271104969513829e-03	5.151700e+00
4.280376358113993e-03	5.138964e+00
4.285369712678405e-03	5.091543e+00
4.290329182470557e-03	5.017704e+00
4.297966317929954e-03	4.861320e+00
4.317497567929954e-03	4.380135e+00
4.328519044298546e-03	4.173803e+00
4.337186404470654e-03	4.076076e+00
4.353700741115212e-03	3.993795e+00
4.363466366115212e-03	3.932327e+00
4.372279525111216e-03	3.815877e+00
